product_id,sku,vendor,status,image_full,image_thumb
gid://shopify/Product/15544894914633,AA0527,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/05/AA0527.png,https://www.akwa.co.za/wp-content/uploads/2023/05/AA0527-300x300.png
gid://shopify/Product/15544894980169,AA0529,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/03/AA0529.png,https://www.akwa.co.za/wp-content/uploads/2024/03/AA0529-300x300.png
gid://shopify/Product/15544891080777,AB0240,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2022/02/AB0240.png,https://www.akwa.co.za/wp-content/uploads/2022/02/AB0240-300x300.png
gid://shopify/Product/15544890785865,AB0255,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/04/AB0255.png,https://www.akwa.co.za/wp-content/uploads/2020/04/AB0255-300x300.png
gid://shopify/Product/15544891342921,AB0261,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/04/AB0261.png,https://www.akwa.co.za/wp-content/uploads/2020/04/AB0261-300x300.png
gid://shopify/Product/15544886886473,AC0157L,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0157L.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0157L-300x300.png
gid://shopify/Product/15544886919241,AC0158L,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0158L.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0158L-300x300.png
gid://shopify/Product/15544886984777,AC0161L,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0161L.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0161L-300x300.png
gid://shopify/Product/15544887017545,AC0162L,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0162L.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0162L-300x300.png
gid://shopify/Product/15544887148617,AC0163L,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0163L.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0163L-300x300.png
