sku,action,product_id,status,vendor,total_inventory,has_image,title,keeper_id
AF0228,ARCHIVE,gid://shopify/Product/15544896323657,ARCHIVED,Aqua Cube,0,Y,Dophin Cichlid Pellets 100G - Mini,gid://shopify/Product/15547026767945
AF0228,KEEP,gid://shopify/Product/15547026767945,ACTIVE,Dophin,0,Y,Dophin Cichlid Pellets - Mini,gid://shopify/Product/15547026767945
AFM0102,ARCHIVE,gid://shopify/Product/15538249957449,ARCHIVED,Aqua Cube,0,Y,Akwa Activated Carbon 500ml,gid://shopify/Product/15544893079625
AFM0102,KEEP,gid://shopify/Product/15544893079625,ACTIVE,Aqua Cube,0,Y,Activated Carbon 500Ml Bottle,gid://shopify/Product/15544893079625
AFM0103,ARCHIVE,gid://shopify/Product/15538249990217,ARCHIVED,Aqua Cube,0,Y,Akwa Activated Carbon 1L,gid://shopify/Product/15544892784713
AFM0103,KEEP,gid://shopify/Product/15544892784713,ACTIVE,Aqua Cube,0,Y,Activated Carbon 1L Bottle,gid://shopify/Product/15544892784713
AFM0103,ARCHIVE,gid://shopify/Product/15547026702409,ACTIVE,Aqua Cube,0,Y,Akwa Activated Carbon,gid://shopify/Product/15544892784713
AFM0105,KEEP,gid://shopify/Product/15538250022985,DRAFT,Aqua Cube,0,Y,Akwa Ceramic Noodles 500ml,gid://shopify/Product/15538250022985
AFM0105,ARCHIVE,gid://shopify/Product/15544893112393,DRAFT,Aqua Cube,0,Y,Ceramic Noodles 500Ml Bottle,gid://shopify/Product/15538250022985
AFM0106,KEEP,gid://shopify/Product/15538250055753,DRAFT,Aqua Cube,0,Y,Akwa Ceramic Noodles 1L,gid://shopify/Product/15538250055753
AFM0106,ARCHIVE,gid://shopify/Product/15544892817481,DRAFT,Aqua Cube,0,Y,Ceramic Noodles 1L Bottle,gid://shopify/Product/15538250055753
AFM0110,KEEP,gid://shopify/Product/15538250088521,DRAFT,Aqua Cube,0,Y,Akwa Zeolite Ammonia Remover 500ml,gid://shopify/Product/15538250088521
AFM0110,ARCHIVE,gid://shopify/Product/15544893145161,DRAFT,Aqua Cube,0,Y,Zeolite Ammonia Remover 500Ml Bottle,gid://shopify/Product/15538250088521
AFM0111,KEEP,gid://shopify/Product/15538250121289,DRAFT,Aqua Cube,0,Y,Akwa Zeolite Ammonia Remover 1L,gid://shopify/Product/15538250121289
AFM0111,ARCHIVE,gid://shopify/Product/15544892850249,DRAFT,Aqua Cube,0,Y,Zeolite Ammonia Remover 1L Bottle,gid://shopify/Product/15538250121289
AG0812,ARCHIVE,gid://shopify/Product/15544912117833,ARCHIVED,Aqua Cube,0,Y,Gravel White 2Kg,gid://shopify/Product/15547026440265
AG0812,KEEP,gid://shopify/Product/15547026440265,ACTIVE,Aqua Cube,0,Y,Gravel White,gid://shopify/Product/15547026440265
AG0816,ARCHIVE,gid://shopify/Product/15544912609353,ARCHIVED,Aqua Cube,0,Y,Gravel White - 2Kg Fine,gid://shopify/Product/15547026473033
