product_id,sku,status,vendor,title,scope,proposed_department,proposed_collection_tags,confidence,action
15546913161289,SY-ABS6,DRAFT,Aqua Cube,ABS Clips Glass Lid 6mm 4PCS,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15546913194057,SY-ABS8,DRAFT,Aqua Cube,ABS Clips Glass Lid 8mm 4PCS,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544914608201,DYM0751,DRAFT,Aqua Cube,Dymax Gs-30 Lid,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544914247753,DYM0020,DRAFT,Aqua Cube,Dymax Iq Spray Bar,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544914182217,DYM0013,ACTIVE,Dymax,Dymax Iq3 Lid,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544914477129,DYM0014,ACTIVE,Dymax,Dymax Iq5 Lid,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544914575433,DYM0528,ACTIVE,Dymax,Dymax Iq7 Lid,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544914214985,DYM0152,DRAFT,Aqua Cube,Dymax Iq9 Lid,Aquarium,Aquarium Accessories,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15538250154057,AQD8003,DRAFT,Aqua Cube,Akwa Dophin Mini Tank GT-8003 12L,Aquarium,Aquariums,Collection: Aquariums,med,remove 'Collection: Equipment'; add: Collection: Aquariums
15544914280521,DYM0002,ARCHIVED,Aqua Cube,Dymax Iq3 Mini Acrylic Aquarium - White,Aquarium,Aquariums,Collection: Aquariums,med,remove 'Collection: Equipment'; add: Collection: Aquariums
15544914018377,DYM0007,ACTIVE,Dymax,Dymax Iq5 Mini Acrylic Aquarium - Black (13L),Aquarium,Aquariums,Collection: Aquariums,med,remove 'Collection: Equipment'; add: Collection: Aquariums
15544914051145,DYM0385,ARCHIVED,Aqua Cube,Dymax Iq7 Mini Acrylic Aquarium - White 18L,Aquarium,Aquariums,Collection: Aquariums,med,remove 'Collection: Equipment'; add: Collection: Aquariums
15547029028937,,ACTIVE,Dymax,Dymax Iq7 Mini Acrylic Aquarium 18L,Aquarium,Aquariums,Collection: Aquariums,med,remove 'Collection: Equipment'; add: Collection: Aquariums
15544914313289,DYM0384,ARCHIVED,Aqua Cube,Dymax Iq7 Mini Acrylic Aquarium-Black - 18L,Aquarium,Aquariums,Collection: Aquariums,med,remove 'Collection: Equipment'; add: Collection: Aquariums
15546934493257,AQP-ATO-PRO,DRAFT,Aqua Cube,Aquapro Water Level Auto Top-Off Pro,Aquarium,Auto Top-Off,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15546934460489,AQP-ATO-REG,DRAFT,Aqua Cube,Aquapro Water Level Auto Top-Off Regular,Aquarium,Auto Top-Off,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544911495241,HYG0987,DRAFT,Aqua Cube,Hygger Auto Top System - Hg987,Aquarium,Auto Top-Off,Collection: Aquarium Accessories,med,remove 'Collection: Equipment'; add: Collection: Aquarium Accessories
15544910118985,CFD0875,DRAFT,Aqua Cube,Diffuser Dolphin C-1000 / C-1300 / C-1600,Aquarium,CO₂ Diffusors,Collection: CO₂ Diffusors,med,remove 'Collection: Equipment'; add: Collection: CO₂ Diffusors
15544909955145,CFD0865,DRAFT,Aqua Cube,Diffuser Dolphin C-500 / C-700,Aquarium,CO₂ Diffusors,Collection: CO₂ Diffusors,med,remove 'Collection: Equipment'; add: Collection: CO₂ Diffusors
15544916017225,DYM0589,ACTIVE,Dymax,Dymax Ceramic Disc S/S Diffuser 24Mm,Aquarium,CO₂ Diffusors,Collection: CO₂ Diffusors,med,remove 'Collection: Equipment'; add: Collection: CO₂ Diffusors
15544915820617,DYM0590,ACTIVE,Dymax,Dymax Ceramic Disc S/S Diffuser 36Mm,Aquarium,CO₂ Diffusors,Collection: CO₂ Diffusors,med,remove 'Collection: Equipment'; add: Collection: CO₂ Diffusors
15544902418505,DM0601,ACTIVE,Dophin,Dophin Anti-Chlorine 200Ml - # 1,Aquarium,Dechlorinators,Collection: Dechlorinators; Collection: Water Treatment,high,remove 'Collection: Equipment'; add: Collection: Dechlorinators; Collection: Water Treatment
15538250055753,AFM0106,DRAFT,Aqua Cube,Akwa Ceramic Noodles 1L,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15538250022985,AFM0105,DRAFT,Aqua Cube,Akwa Ceramic Noodles 500ml,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544907497545,IFC0602,DRAFT,Aqua Cube,Dophin Cartridge Fc-602,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544907530313,IFC0603,DRAFT,Aqua Cube,Dophin Cartridge Fc-603,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544907563081,IFC0604,DRAFT,Aqua Cube,Dophin Cartridge Fc-604,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544907300937,SF0015,DRAFT,Aqua Cube,Dophin Nano Sponge Sf-15,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544909168713,CFD0894,DRAFT,Aqua Cube,Valve Base Dophin - Cf12008,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544908873801,CFD0895,DRAFT,Aqua Cube,Valve Base Dophin - Cf12308,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544909201481,CFD0896,DRAFT,Aqua Cube,Valve Base Dophin - Cf12508,Aquarium,Filter Media / Filtration,Collection: Filter Media,med,remove 'Collection: Equipment'; add: Collection: Filter Media
15544900485193,DYM1014,DRAFT,Aqua Cube,Betta Glory 10G (24Pcs) - Dm557,Aquarium,Fish Food,Collection: Fish Food,high,remove 'Collection: Equipment'; add: Collection: Fish Food
15544900747337,DYM1013,DRAFT,Aqua Cube,Betta Glory 10G (6Pcs),Aquarium,Fish Food,Collection: Fish Food,high,remove 'Collection: Equipment'; add: Collection: Fish Food
15544900780105,DYM1015,DRAFT,Aqua Cube,Betta Glory 40G - Dm456,Aquarium,Fish Food,Collection: Fish Food,high,remove 'Collection: Equipment'; add: Collection: Fish Food
15544901369929,DYM1047,DRAFT,Aqua Cube,Discus Gold 170G - Dm457,Aquarium,Fish Food,Collection: Fish Food,high,remove 'Collection: Equipment'; add: Collection: Fish Food
