Handle,Image Src,Image Position,Image Alt Text
akwa-led-5w-white-blue,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-041.jpg,1,Akwa LED 5W White & Blue Light
akwa-led-5w-multi-colour,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-042.jpg,1,Akwa LED 5W Multi Colour Light
akwa-dophin-clamp-led-mini-tank,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-043.jpg,1,Akwa Dophin Clamp LED Mini Tank
akwa-dophin-led-1088-rgb-35cm-12w,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-044.jpg,1,Akwa Dophin LED-1088 RGB 35cm 12W
akwa-dophin-led-1089-biolux-45cm-17w,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-045.jpg,1,Akwa Dophin LED-1089 BioLux 45cm 17W
akwa-dophin-led-1089-marine-45cm-17w,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-049.jpg,1,Akwa Dophin LED-1089 Marine 45cm 17W
akwa-dophin-led-1089-rgb-45cm-17w,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-053.jpg,1,Akwa Dophin LED-1089 RGB 45cm 17W
akwa-dophin-led-1090-marine-60cm-20w,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-057.jpg,1,Akwa Dophin LED-1090 Marine 60cm 20W
akwa-dophin-led-1090-rgb-60cm-20w,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-059.jpg,1,Akwa Dophin LED-1090 RGB 60cm 20W
akwa-fullgain-flat-led-10w-30cm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-061.jpg,1,Akwa Fullgain Flat LED 10W 30cm
akwa-fullgain-flat-led-14w-45cm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-062.jpg,1,Akwa Fullgain Flat LED 14W 45cm
akwa-fullgain-flat-led-18w-60cm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-063.jpg,1,Akwa Fullgain Flat LED 18W 60cm
akwa-fullgain-flat-led-22w-75cm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-064.jpg,1,Akwa Fullgain Flat LED 22W 75cm
akwa-fullgain-flat-led-26w-90cm,https://cdn.shopify.com/s/files/1/REPLACE_SHOP_ID/REPLACE_FILES_ID/files/akwa_img-065.jpg,1,Akwa Fullgain Flat LED 26W 90cm
