Handle,Image File (local),Image Src (PASTE CDN URL HERE),Image Alt Text,Image Position,SKU,Title
akwa-led-5w-white-blue,akwa_img-041.jpg,,Akwa LED 5W White & Blue Light,1,LED0010,Akwa LED 5W White & Blue Light
akwa-led-5w-multi-colour,akwa_img-042.jpg,,Akwa LED 5W Multi Colour Light,1,LED0011,Akwa LED 5W Multi Colour Light
akwa-dophin-clamp-led-mini-tank,akwa_img-043.jpg,,Akwa Dophin Clamp LED Mini Tank,1,LED0105,Akwa Dophin Clamp LED Mini Tank
akwa-dophin-led-1088-rgb-35cm-12w,akwa_img-044.jpg,,Akwa Dophin LED-1088 RGB 35cm 12W,1,LED1088R,Akwa Dophin LED-1088 RGB 35cm 12W
akwa-dophin-led-1089-biolux-45cm-17w,akwa_img-045.jpg,,Akwa Dophin LED-1089 BioLux 45cm 17W,1,LED1089B,Akwa Dophin LED-1089 BioLux 45cm 17W
akwa-dophin-led-1089-marine-45cm-17w,akwa_img-049.jpg,,Akwa Dophin LED-1089 Marine 45cm 17W,1,LED1089M,Akwa Dophin LED-1089 Marine 45cm 17W
akwa-dophin-led-1089-rgb-45cm-17w,akwa_img-053.jpg,,Akwa Dophin LED-1089 RGB 45cm 17W,1,LED1089R,Akwa Dophin LED-1089 RGB 45cm 17W
akwa-dophin-led-1090-marine-60cm-20w,akwa_img-057.jpg,,Akwa Dophin LED-1090 Marine 60cm 20W,1,LED1090M,Akwa Dophin LED-1090 Marine 60cm 20W
akwa-dophin-led-1090-rgb-60cm-20w,akwa_img-059.jpg,,Akwa Dophin LED-1090 RGB 60cm 20W,1,LED1090R,Akwa Dophin LED-1090 RGB 60cm 20W
akwa-fullgain-flat-led-10w-30cm,akwa_img-061.jpg,,Akwa Fullgain Flat LED 10W 30cm,1,FG0300,Akwa Fullgain Flat LED 10W 30cm
akwa-fullgain-flat-led-14w-45cm,akwa_img-062.jpg,,Akwa Fullgain Flat LED 14W 45cm,1,FG0301,Akwa Fullgain Flat LED 14W 45cm
akwa-fullgain-flat-led-18w-60cm,akwa_img-063.jpg,,Akwa Fullgain Flat LED 18W 60cm,1,FG0302,Akwa Fullgain Flat LED 18W 60cm
akwa-fullgain-flat-led-22w-75cm,akwa_img-064.jpg,,Akwa Fullgain Flat LED 22W 75cm,1,FG0303,Akwa Fullgain Flat LED 22W 75cm
akwa-fullgain-flat-led-26w-90cm,akwa_img-065.jpg,,Akwa Fullgain Flat LED 26W 90cm,1,FG0304,Akwa Fullgain Flat LED 26W 90cm
akwa-ocean-max-led-t4-200-white-4w,akwa_img-066.jpg,,Akwa Ocean Max LED T4-200 White 4W,1,LED4200W,Akwa Ocean Max LED T4-200 White 4W
akwa-ocean-max-led-t4-200-blue-white-4w,akwa_img-067.jpg,,Akwa Ocean Max LED T4-200 Blue White 4W,1,LED4200BW,Akwa Ocean Max LED T4-200 Blue White 4W
akwa-ocean-max-led-t4-300-white-6w,akwa_img-068.jpg,,Akwa Ocean Max LED T4-300 White 6W,1,LED4300W,Akwa Ocean Max LED T4-300 White 6W
akwa-ocean-max-led-t4-300-blue-white-6w,akwa_img-069.jpg,,Akwa Ocean Max LED T4-300 Blue White 6W,1,LED4300BW,Akwa Ocean Max LED T4-300 Blue White 6W
akwa-ocean-max-led-t4-400-white-7-5w,akwa_img-070.jpg,,Akwa Ocean Max LED T4-400 White 7.5W,1,LED4400W,Akwa Ocean Max LED T4-400 White 7.5W
akwa-ocean-max-led-t4-400-blue-white-7-5w,akwa_img-071.jpg,,Akwa Ocean Max LED T4-400 Blue White 7.5W,1,LED4400BW,Akwa Ocean Max LED T4-400 Blue White 7.5W
akwa-ocean-max-led-t4-500-white-8w,akwa_img-072.jpg,,Akwa Ocean Max LED T4-500 White 8W,1,LED4500W,Akwa Ocean Max LED T4-500 White 8W
akwa-ocean-max-led-t4-500-blue-white-8w,akwa_img-073.jpg,,Akwa Ocean Max LED T4-500 Blue White 8W,1,LED4500BW,Akwa Ocean Max LED T4-500 Blue White 8W
akwa-ocean-max-led-t4-600-white-10w,akwa_img-074.jpg,,Akwa Ocean Max LED T4-600 White 10W,1,LED4600W,Akwa Ocean Max LED T4-600 White 10W
akwa-ocean-max-led-t4-600-blue-white-10w,akwa_img-075.jpg,,Akwa Ocean Max LED T4-600 Blue White 10W,1,LED4600BW,Akwa Ocean Max LED T4-600 Blue White 10W
akwa-ocean-max-led-t4-800-white-13-6w,akwa_img-076.jpg,,Akwa Ocean Max LED T4-800 White 13.6W,1,LED4800W,Akwa Ocean Max LED T4-800 White 13.6W
akwa-ocean-max-led-t4-800-blue-white-13-6w,akwa_img-077.jpg,,Akwa Ocean Max LED T4-800 Blue White 13.6W,1,LED4800BW,Akwa Ocean Max LED T4-800 Blue White 13.6W
akwa-ocean-max-led-t4-1000-white-16-5w,akwa_img-078.jpg,,Akwa Ocean Max LED T4-1000 White 16.5W,1,LED41000W,Akwa Ocean Max LED T4-1000 White 16.5W
akwa-ocean-max-led-t4-1000-blue-white-16-5w,akwa_img-079.jpg,,Akwa Ocean Max LED T4-1000 Blue White 16.5W,1,LED41000BW,Akwa Ocean Max LED T4-1000 Blue White 16.5W
akwa-dophin-25w-heater,akwa_img-080.jpg,,Akwa Dophin 25W Heater,1,HTR0202,Akwa Dophin 25W Heater
akwa-dophin-50w-heater,akwa_img-081.jpg,,Akwa Dophin 50W Heater,1,HTR0205,Akwa Dophin 50W Heater
akwa-dophin-100w-heater,akwa_img-082.jpg,,Akwa Dophin 100W Heater,1,HTR0210,Akwa Dophin 100W Heater
akwa-dophin-150w-heater-300mm,akwa_img-083.jpg,,Akwa Dophin 150W Heater 300mm,1,HTR0215,Akwa Dophin 150W Heater 300mm
akwa-dophin-200w-heater-310mm,akwa_img-084.jpg,,Akwa Dophin 200W Heater 310mm,1,HTR0220,Akwa Dophin 200W Heater 310mm
akwa-dophin-300w-heater-360mm,akwa_img-085.jpg,,Akwa Dophin 300W Heater 360mm,1,HTR0230,Akwa Dophin 300W Heater 360mm
akwa-dophin-500w-heater,akwa_img-086.jpg,,Akwa Dophin 500W Heater,1,HTR0250,Akwa Dophin 500W Heater
akwa-sunsun-xrb-600w-heater,akwa_img-087.jpg,,Akwa SunSun XRB-600W Heater,1,HTR0600,Akwa SunSun XRB-600W Heater
akwa-sunsun-xrb-1000w-heater,akwa_img-088.jpg,,Akwa SunSun XRB-1000W Heater,1,HTR1000,Akwa SunSun XRB-1000W Heater
akwa-ac-dc-air-pump-apq-505-510lh,akwa_img-089.jpg,,Akwa AC/DC Air Pump APQ-505 510L/H,1,APS0505,Akwa AC/DC Air Pump APQ-505 510L/H
akwa-ac-dc-air-pump-apq-510-1020lh,akwa_img-090.jpg,,Akwa AC/DC Air Pump APQ-510 1020L/H,1,APS0510,Akwa AC/DC Air Pump APQ-510 1020L/H
akwa-ac-dc-air-pump-jt-203s-240lh,akwa_img-091.jpg,,Akwa AC/DC Air Pump JT-203S 240L/H,1,APS0203,Akwa AC/DC Air Pump JT-203S 240L/H
akwa-gravel-cleaner-small-250mm,akwa_img-092.jpg,,Akwa Gravel Cleaner Small 250mm,1,GRC0001,Akwa Gravel Cleaner Small 250mm
akwa-gravel-cleaner-large-350mm,akwa_img-093.jpg,,Akwa Gravel Cleaner Large 350mm,1,GRC0002,Akwa Gravel Cleaner Large 350mm
akwa-dophin-magnetic-cleaner-small,akwa_img-094.jpg,,Akwa Dophin Magnetic Cleaner Small,1,MAG0001,Akwa Dophin Magnetic Cleaner Small
akwa-dophin-magnetic-cleaner-medium,akwa_img-095.jpg,,Akwa Dophin Magnetic Cleaner Medium,1,MAG0002,Akwa Dophin Magnetic Cleaner Medium
akwa-dophin-magnetic-cleaner-large,akwa_img-096.jpg,,Akwa Dophin Magnetic Cleaner Large,1,MAG0003,Akwa Dophin Magnetic Cleaner Large
akwa-dophin-scraper-mc-101,akwa_img-097.jpg,,Akwa Dophin Scraper MC-101,1,SCR0001,Akwa Dophin Scraper MC-101
akwa-activated-carbon-500ml,akwa_img-098.jpg,,Akwa Activated Carbon 500ml,1,AFM0102,Akwa Activated Carbon 500ml
akwa-activated-carbon-1l,akwa_img-099.jpg,,Akwa Activated Carbon 1L,1,AFM0103,Akwa Activated Carbon 1L
akwa-ceramic-noodles-500ml,akwa_img-100.jpg,,Akwa Ceramic Noodles 500ml,1,AFM0105,Akwa Ceramic Noodles 500ml
akwa-ceramic-noodles-1l,akwa_img-101.jpg,,Akwa Ceramic Noodles 1L,1,AFM0106,Akwa Ceramic Noodles 1L
akwa-zeolite-ammonia-remover-500ml,akwa_img-102.jpg,,Akwa Zeolite Ammonia Remover 500ml,1,AFM0110,Akwa Zeolite Ammonia Remover 500ml
akwa-zeolite-ammonia-remover-1l,akwa_img-103.jpg,,Akwa Zeolite Ammonia Remover 1L,1,AFM0111,Akwa Zeolite Ammonia Remover 1L
akwa-dophin-mini-tank-gt-8003-12l,akwa_img-104.jpg,,Akwa Dophin Mini Tank GT-8003 12L,1,AQD8003,Akwa Dophin Mini Tank GT-8003 12L
