SKU,Handle,Title,Vendor,Collections,Bing_Image_Search,Google_Image_Search,Chosen_Image_URL,Source_File
ZETLN1050,zetlight-zn1050-led,Zetlight ZN1050 LED 3-in-1,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20ZN1050%20LED%203-in-1,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20ZN1050%20LED%203-in-1,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETE324WPLANT,zetlight-e3-24w-freshwater-plant,Zetlight E3 24W Freshwater Plant,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20E3%2024W%20Freshwater%20Plant,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20E3%2024W%20Freshwater%20Plant,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETE324WMARINE,zetlight-e3-24w-marine,Zetlight E3 24W Marine,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20E3%2024W%20Marine,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20E3%2024W%20Marine,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETZA1201AI,zetlight-za1201ai-marine,Zetlight ZA1201AI Marine,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20ZA1201AI%20Marine,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20ZA1201AI%20Marine,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETO2FRESHWATER,zetlight-o2-freshwater-hanging,Zetlight O2 Freshwater Hanging Kits,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20O2%20Freshwater%20Hanging%20Kits,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20O2%20Freshwater%20Hanging%20Kits,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETUFO8PRO,zetlight-ufo-f8-pro-algae,Zetlight UFO F8 PRO Algae Bursting,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20UFO%20F8%20PRO%20Algae%20Bursting,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20UFO%20F8%20PRO%20Algae%20Bursting,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETX966WMARINE,zetlight-x9-66w-marine-rgb,Zetlight X9 66W Marine RGB,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20X9%2066W%20Marine%20RGB,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20X9%2066W%20Marine%20RGB,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETX9PRO96W,zetlight-x9-pro-96w-marine-rgb,Zetlight X9 PRO 96W Marine RGB,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20X9%20PRO%2096W%20Marine%20RGB,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20X9%20PRO%2096W%20Marine%20RGB,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETQMAVEN90,zetlight-qmaven-ii-q6-90,Zetlight Qmaven II Q6-90 Marine,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20Qmaven%20II%20Q6-90%20Marine,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20Qmaven%20II%20Q6-90%20Marine,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
ZETQMAVEN120,zetlight-qmaven-ii-q6-120,Zetlight Qmaven II Q6-120 Marine,Zetlight,Lighting,https://www.bing.com/images/search?q=Zetlight%20Zetlight%20Qmaven%20II%20Q6-120%20Marine,https://www.google.com/search?tbm=isch&q=Zetlight%20Zetlight%20Qmaven%20II%20Q6-120%20Marine,,AquaCube_01_Lighting_CO2_SHOPIFY_COLLECTIONS.csv
